"","index","Movie.Name","Year","Season","Run.Time","Budget","Box.Office","Genre","MPAA.Rating","Audience.Score","Sequel","Adjusted_Budget","Adjusted_Box.Office","Adjusted_Genre"
"172",171,"Edge of Darkness",2010,"Winter",117,8e+07,81100000,"Action","R",55,"Not Sequel",115066483.264558,116648647.409445,"Action"
"173",172,"The Amazing Spider-Man",2012,"Summer",136,3.15e+08,758700000,"Action","PG-13",72,"Not Sequel",430381097.560976,1036603614.98258,"Action"
"174",173,"Wonder Woman 1984",2020,"Fall",151,2e+08,169600000,"Action","PG-13",58,"Sequel",242426584.23493,205577743.431221,"Action"
"175",174,"Life
",2017,"Winter",104,5.8e+07,100500000,"Sci-Fi","R",48,"Not Sequel",74233374.1330069,128628518.971848,"Sci-Fi"
"176",175,"Dr. Dolittle 2",2001,"Spring",87,7e+07,176100000,"Comedy","PG",42,"Sequel",123992094.86166,311928684.359119,"Comedy"
"177",176,"Elektra",2005,"Winter",97,75500000,5.7e+07,"Action","PG-13",11,"Not Sequel",121271633.384537,91556067.5883256,"Action"
"178",177,"Gone Girl",2014,"Fall",149,6.1e+07,370900000,"Thriller","R",87,"Not Sequel",80843683.9881707,491556104.773975,"Thriller"
"179",178,"Panic",2000,"Fall",88,649280833333.333,7.79137e+11,"Drama","R",84,"Not Sequel",1182807185927.22,1419368623112.66,"Drama"
"180",179,"Larry the Cable Guy: Health Inspector",2006,"Winter",89,1.7e+07,15600000,"Comedy","PG-13",4,"Not Sequel",26452876.984127,24274404.7619048,"Comedy"
"181",180,"2012 ",2009,"Fall",158,2e+08,791200000,"Action","PG-13",39,"Not Sequel",292494172.494173,1157106946.38695,"Action"
"182",181,"Breaking In",2018,"Spring",88,1.2e+07,51400000,"Thriller","PG-13",64,"Not Sequel",14991636.7980884,64214177.6184787,"Thriller"
"183",182,"The Darjeeling Limited",2007,"Summer",91,17500000,35100000,"Adventure","R",70,"Not Sequel",26482151.4712976,53115629.5224313,"Other"
"184",183,"Definitely, Maybe",2008,"Winter",111,2.4e+07,55600000,"Comedy","PG-13",71,"Not Sequel",34968880.6316767,81011240.1300511,"Comedy"
"185",184,"Oldboy
",2005,"Winter",120,3e+06,17600000,"Action","R",71,"Not Sequel",4818740.39938556,28269943.6763953,"Action"
"186",185,"You Will Meet a Tall Dark Stranger",2010,"Summer",100,2.2e+07,3.6e+07,"Comedy","R",45,"Not Sequel",31643282.8977533,51779917.4690509,"Comedy"
"187",186,"Stolen",2012,"Summer",96,3.5e+07,1.8e+07,"Action","R",18,"Not Sequel",47820121.9512195,24593205.5749129,"Action"
"188",187,"All Fun and Games",2023,"Summer",76,1166666.66666667,1400000,"Horror","R",25,"Not Sequel",1201126.7913795,1441352.1496554,"Horror"
"189",188,"Empire of Light",2022,"Fall",115,9500000,11400000,"Drama","R",45,"Not Sequel",10181585.240861,12217902.2890331,"Drama"
"190",189,"Rogue One: A Star Wars Story",2016,"Fall",134,340100000,1.059e+09,"Sci-Fi","PG-13",84,"Not Sequel",444539041.666667,1384201250,"Sci-Fi"
"191",190,"The Promise",2017,"Spring",134,9e+07,12400000,"Drama","PG-13",51,"Not Sequel",115189718.482252,15870583.4353325,"Drama"
"192",191,"Reservation Road",2007,"Fall",98,1500000,1800000,"Drama","R",38,"Not Sequel",2269898.6975398,2723878.43704776,"Drama"
"193",192,"Lay the Favorite",2012,"Fall",94,14700000,1500000,"Comedy","R",18,"Not Sequel",20084451.2195122,2049433.79790941,"Comedy"
"194",193,"Sleeping with Other People
",2015,"Summer",101,3e+06,3200000,"Comedy","R",74,"Not Sequel",3970886.07594937,4235611.81434599,"Comedy"
"195",194,"It Chapter Two",2019,"Summer",169,7.9e+07,473100000,"Horror","R",62,"Sequel",96919436.8400469,580412475.557294,"Horror"
"196",195,"Terror on the Prairie",2022,"Spring",107,2e+06,1.3115e+10,"Western","R",30,"Not Sequel",2143491.62965494,14055946361.4622,"Other"
"197",196,"Dance Flick",2009,"Spring",83,2.5e+07,3.2e+07,"Comedy","PG-13",14,"Not Sequel",36561771.5617716,46799067.5990676,"Comedy"
"198",197,"Alvin and the Chipmunks: The Squeakquel",2009,"Fall",88,7e+07,443100000,"Animation","PG",20,"Sequel",102372960.37296,648020839.160839,"Animation"
"199",198,"Infamous",2006,"Fall",118,1.3e+07,2600000,"Biography","R",73,"Not Sequel",20228670.6349206,4045734.12698413,"Biography"
"200",199,"Mission: Impossible 2",2000,"Spring",124,182500000,546400000,"Action","PG-13",57,"Sequel",332463704.994193,995387224.157956,"Action"
"201",200,"Life or Something Like It",2002,"Spring",103,4e+07,16900000,"Comedy","PG-13",28,"Not Sequel",69749861.0339077,29469316.286826,"Comedy"
"202",201,"The Wolfman",2010,"Winter",103,1.5e+08,142600000,"Horror","R",34,"Not Sequel",215749656.121045,205106006.419074,"Horror"
"203",202,"Lincoln
",2012,"Fall",150,6.5e+07,275300000,"Biography","PG-13",89,"Not Sequel",88808797.9094077,376139416.376307,"Biography"
"204",203,"Spider-Man 3",2007,"Spring",139,2.58e+08,895900000,"Action","PG-13",63,"Sequel",390422575.976845,1355734828.7506,"Action"
"205",204,"Life Itself",2018,"Summer",117,1e+07,8e+06,"Drama","R",13,"Not Sequel",12493030.6650737,9994424.53205894,"Drama"
"206",205,"America: Imagine the World Without Her",2014,"Spring",103,5e+06,14400000,"Documentary","PG-13",19,"Not Sequel",6626531.47444022,19084410.6463878,"Other"
"207",206,"21 Jump Street",2012,"Winter",109,69350000,2.01e+08,"Action","R",85,"Not Sequel",94752155.923345,274624128.919861,"Action"
"208",207,"Eternals
",2021,"Winter",156,236200000,402100000,"Action","PG-13",47,"Not Sequel",273416752.767528,465456715.867159,"Action"
"209",208,"The Invasion",2007,"Summer",99,1.05e+08,40200000,"Sci-Fi","PG-13",19,"Not Sequel",158892908.827786,60833285.0940666,"Sci-Fi"
"210",209,"Who Is Cletis Tout?",2002,"Summer",92,9e+06,2.52706e+11,"Comedy","R",38,"Not Sequel",15693718.7326292,440655209560.867,"Comedy"
"211",210,"A Rainy Day in New York",2020,"Fall",92,2.5e+07,23800000,"Comedy","PG-13",48,"Not Sequel",30303323.0293663,28848763.5239567,"Comedy"
"212",211,"Cobweb",2023,"Summer",88,7083333.33333333,8500000,"Horror","R",61,"Not Sequel",7292555.51908982,8751066.62290778,"Horror"
"213",212,"Texas Chainsaw 3D",2013,"Winter",92,2e+07,47300000,"Horror","R",19,"Sequel",26927038.6266094,63682446.3519313,"Horror"
"214",213,"Fatman",2020,"Fall",100,2e+07,1700000,"Action","R",45,"Not Sequel",24242658.423493,2060625.96599691,"Action"
"215",214,"No Time to Die
",2021,"Winter",163,400500000,774200000,"Action","PG-13",83,"Sequel",463604612.546125,896186494.464945,"Action"
"216",215,"Avengers: Age of Ultron",2015,"Spring",141,691600000,1.405e+09,"Action","PG-13",76,"Sequel",915421603.375527,1859698312.23629,"Action"
"217",216,"We Need to Talk About Kevin",2011,"Fall",112,7e+06,10800000,"Drama","R",76,"Not Sequel",9763895.0644731,15064295.2423299,"Drama"
"218",217,"Beyond Borders",2003,"Fall",127,3.5e+07,11700000,"Drama","R",14,"Not Sequel",59671195.6521739,19947228.2608696,"Drama"
"219",218,"Brooklyn's Finest",2010,"Winter",132,1.7e+07,36400000,"Crime","R",44,"Not Sequel",24451627.6937185,52355249.8853737,"Crime"
"220",219,"Big Fat Liar",2002,"Winter",88,1.5e+07,5.3e+07,"Comedy","PG",45,"Not Sequel",26156197.8877154,92418565.8699277,"Comedy"
"221",220,"The Painted Veil",2006,"Fall",125,19400000,26900000,"Drama","PG-13",70,"Not Sequel",30187400.7936508,41857787.6984127,"Drama"
"222",221,"The Wrath of Becky",2023,"Spring",83,172598333333.333,2.07118e+11,"Action","R",79,"Sequel",177696413412.099,213235696094.519,"Action"
"223",222,"The Legend of Zorro",2005,"Fall",130,7.5e+07,142400000,"Action","PG",43,"Sequel",120468509.984639,228729544.290835,"Action"
"224",223,"Terminator: Dark Fate",2019,"Fall",128,2.83e+08,261100000,"Action","R",70,"Sequel",347192412.983966,320324872.897927,"Action"
"225",224,"Uncharted",2022,"Winter",116,1.2e+08,407100000,"Action","PG-13",40,"Not Sequel",128609497.779296,436307721.216262,"Action"
"226",225,"2 Hearts",2020,"Fall",100,1.5e+07,1300000,"Romance","PG-13",18,"Not Sequel",18181993.8176198,1575772.79752705,"Romance"
"227",226,"Resident Evil: Retribution",2012,"Summer",96,6.5e+07,240200000,"Action","R",28,"Sequel",88808797.9094077,328182665.505226,"Action"
"228",227,"Dashcam",2022,"Spring",76,58820833333.3333,7.0585e+10,"Horror","R",36,"Not Sequel",63040981949.6641,75649178339.5969,"Horror"
"229",228,"The Human Stain",2003,"Fall",106,3e+07,24900000,"Drama","R",44,"Not Sequel",51146739.1304348,42451793.4782609,"Drama"
"230",229,"Her",2013,"Fall",126,2.3e+07,48300000,"Romance","R",94,"Not Sequel",30966094.4206009,65028798.2832618,"Romance"
"231",230,"Yogi Bear",2010,"Fall",80,8e+07,203500000,"Animation","PG",13,"Not Sequel",115066483.264558,292700366.804218,"Animation"
"232",231,"Failure to Launch",2006,"Winter",97,5e+07,130200000,"Comedy","PG-13",24,"Not Sequel",77802579.3650794,202597916.666667,"Comedy"
"233",232,"Kings",2018,"Spring",92,758557500000,9.10269e+11,"Drama","R",13,"Not Sequel",947668210872.162,1137201853046.59,"Drama"
"234",233,"The Loft
",2015,"Winter",103,1.3e+07,1.1e+07,"Thriller","R",15,"Not Sequel",17207172.9957806,14559915.6118143,"Thriller"
"235",234,"The Witch",2016,"Winter",92,4e+06,40400000,"Horror","R",89,"Not Sequel",5228333.33333333,52806166.6666667,"Horror"
"236",235,"The Bad Guys",2022,"Spring",100,1.09e+08,250800000,"Animation","PG",88,"Not Sequel",116820293.816194,268793850.358729,"Animation"
"237",236,"Country Strong",2010,"Fall",117,19500000,20600000,"Drama","PG-13",22,"Not Sequel",28047455.2957359,29629619.4406236,"Drama"
"238",237,"The Patriot",2000,"Spring",165,1.1e+08,215300000,"Action","R",62,"Not Sequel",200389082.462253,392216085.946574,"Action"
"239",238,"Ricky Stanicky",2024,"Winter",114,49700000,59640000,"Comedy","R",44,"Not Sequel",49700000,59640000,"Comedy"
"240",239,"Abduction",2011,"Summer",105,3.5e+07,82100000,"Action","PG-13",5,"Not Sequel",48819475.3223655,114516540.684749,"Action"
"241",240,"Come Play",2020,"Fall",96,9e+06,13200000,"Horror","PG-13",55,"Not Sequel",10909196.2905719,16000154.5595054,"Horror"
"242",241,"Racing Dreams",2010,"Spring",96,5.4235e+10,6.5082e+10,"Documentary","PG",93,"Not Sequel",78007883998.166,93609460797.7992,"Other"
"243",242,"ShowBusiness: The Road to Broadway",2007,"Spring",102,126423333333.333,1.51708e+11,"Documentary","PG",50,"Not Sequel",191312106447.982,229574527737.578,"Other"
"244",243,"The Night Before",2015,"Fall",101,41500000,52400000,"Comedy","R",67,"Not Sequel",54930590.7172996,69358143.4599156,"Comedy"
"245",244,"The Smurfs",2011,"Summer",103,1.1e+08,563700000,"Animation","PG",21,"Not Sequel",153432636.727434,786272521.120498,"Animation"
"246",245,"White Bird",2024,"Fall",121,2e+07,8800000,"Drama","PG-13",73,"Sequel",2e+07,8800000,"Drama"
"247",246,"Lucky You",2007,"Spring",124,5.5e+07,8400000,"Romance","PG-13",28,"Not Sequel",83229618.9097926,12711432.7062229,"Romance"
"248",247,"The Boss Baby
",2017,"Winter",97,1.25e+08,5.28e+08,"Animation","PG",53,"Not Sequel",159985720.114239,675779681.762546,"Animation"
"249",248,"Hot Rod",2007,"Summer",88,2.5e+07,14400000,"Comedy","PG-13",38,"Not Sequel",37831644.9589966,21791027.4963821,"Comedy"
"250",249,"Kit Kittredge: An American Girl",2008,"Spring",101,1e+07,17700000,"Drama","G",80,"Not Sequel",14570366.9298653,25789549.4658616,"Drama"
"251",250,"Stone",2010,"Fall",105,2.2e+07,10300000,"Drama","R",48,"Not Sequel",31643282.8977533,14814809.7203118,"Drama"
"252",251,"Timeline",2003,"Fall",116,8e+07,43900000,"Sci-Fi","PG-13",11,"Not Sequel",136391304.347826,74844728.2608696,"Sci-Fi"
"253",252,"Play the Game",2009,"Winter",105,549569166666.667,6.59483e+11,"Comedy","PG-13",38,"Not Sequel",803728893162.393,964474671794.872,"Comedy"
"254",253,"The Burnt Orange Heresy",2020,"Winter",98,593075833333.333,7.11691e+11,"Thriller","R",67,"Not Sequel",718886742336.425,862664090803.709,"Thriller"
"255",254,"Hidalgo",2004,"Winter",136,1e+08,108100000,"Adventure","PG-13",46,"Not Sequel",166066701.958708,179518104.817364,"Other"
"256",255,"Did You Hear About the Morgans?",2009,"Fall",103,5.8e+07,85300000,"Comedy","PG-13",13,"Not Sequel",84823310.02331,124748764.568765,"Comedy"
"257",256,"Lawless",2012,"Summer",115,2.6e+07,54400000,"Crime","R",78,"Not Sequel",35523519.1637631,74326132.4041812,"Crime"
"258",257,"Saving Christmas
",2014,"Fall",79,5e+11,2800000,"Comedy","PG",0,"Not Sequel",662653147444.022,3710857.62568652,"Comedy"
"259",258,"I Origins",2014,"Summer",106,1e+06,8.52399e+11,"Sci-Fi","R",77,"Not Sequel",1325306.29488804,1129689760456.27,"Sci-Fi"
"260",259,"Rita Moreno: Just a Girl Who Decided to Go for It",2021,"Summer",90,220521666666.667,2.64626e+11,"Documentary","PG-13",98,"Not Sequel",255268069495.695,306321683394.834,"Other"
"261",260,"Bee Season",2005,"Fall",104,1.4e+07,6900000,"Drama","PG-13",44,"Not Sequel",22487455.1971326,11083102.9185868,"Drama"
"262",261,"Three Christs",2020,"Winter",109,3.149e+10,3.7788e+10,"Drama","R",41,"Not Sequel",38170065687.7898,45804078825.3478,"Drama"
"263",262,"Jigsaw",2017,"Fall",92,1e+07,104200000,"Horror","R",33,"Sequel",12798857.6091391,133364096.28723,"Horror"
"264",263,"Rush Hour 3",2007,"Summer",91,2.15e+08,2.58e+08,"Action","PG-13",18,"Sequel",325352146.647371,390422575.976845,"Action"
"265",264,"Marshall",2017,"Fall",118,1.2e+07,10100000,"Drama","PG-13",84,"Not Sequel",15358629.130967,12926846.1852305,"Drama"
"266",265,"Gringo",2018,"Winter",110,9166666.66666667,1.1e+07,"Action","R",60,"Not Sequel",11451944.7763175,13742333.731581,"Action"
"267",266,"Wild West Comedy Show: 30 Days and 30 Nights – Hollywood to the Heartland",2008,"Winter",100,5.03245e+11,6.03894e+11,"Documentary","R",81,"Not Sequel",733246430562.006,879895716674.408,"Other"
"268",267,"Jennifer's Body",2009,"Summer",102,1.6e+07,31600000,"Horror","R",45,"Not Sequel",23399533.7995338,46214079.2540793,"Horror"
"269",268,"Behind the Burly Q",2010,"Spring",98,19907500000,2.3889e+10,"Documentary","R",77,"Not Sequel",28633575194.8647,34360290233.8377,"Other"
"270",269,"12 Rounds",2009,"Winter",109,2e+07,17300000,"Action","PG-13",30,"Not Sequel",29249417.2494172,25300745.9207459,"Action"
"271",270,"Mission: Impossible – Rogue Nation
",2015,"Summer",131,1.5e+08,710900000,"Action","PG-13",94,"Sequel",198544303.797468,940967637.130802,"Action"
"272",271,"Forever My Girl",2018,"Winter",104,3500000,16400000,"Romance","PG",23,"Not Sequel",4372560.73277579,20488570.2907208,"Romance"
"273",272,"Star Trek Beyond",2016,"Summer",122,1.85e+08,343500000,"Sci-Fi","PG-13",86,"Sequel",241810416.666667,448983125,"Sci-Fi"
"274",273,"The Irishman",2019,"Fall",209,2.84e+08,8e+06,"Crime","R",95,"Not Sequel",348419241.298397,9814626.51544779,"Crime"
"275",274,"Arthur",2011,"Spring",110,4e+07,48100000,"Comedy","PG-13",27,"Sequel",55793686.0827034,67091907.5144509,"Comedy"
"276",275,"Lions for Lambs",2007,"Fall",92,3.5e+07,63200000,"Drama","R",28,"Not Sequel",52964302.9425953,95638398.4563435,"Drama"
"277",276,"The Eternal Daughter",2022,"Fall",96,473608333333.333,5.6833e+11,"Horror","PG-13",94,"Not Sequel",507587749117.413,609105298940.895,"Horror"
"278",277,"The Perks of Being a Wallflower",2012,"Summer",103,1.3e+07,33300000,"Drama","PG-13",85,"Not Sequel",17761759.5818815,45497430.3135889,"Drama"
"279",278,"Remember Me",2010,"Winter",108,1.6e+07,5.6e+07,"Drama","PG-13",27,"Not Sequel",23013296.6529115,80546538.2851903,"Drama"
"280",279,"Babel",2006,"Fall",144,2.5e+07,135300000,"Drama","R",69,"Not Sequel",38901289.6825397,210533779.761905,"Drama"
"281",280,"Anna Karenina",2012,"Summer",130,40600000,68900000,"Drama","R",63,"Not Sequel",55471341.4634146,94137325.7839721,"Drama"
"282",281,"The Great Raid",2005,"Summer",132,1e+08,10800000,"Action","R",36,"Not Sequel",160624679.979519,17347465.437788,"Action"
"283",282,"First Sunday",2008,"Winter",106,2e+07,38800000,"Comedy","PG-13",13,"Not Sequel",29140733.8597306,56533023.6878774,"Comedy"
"284",283,"The Wedding Ringer
",2015,"Winter",101,2.3e+07,79800000,"Comedy","PG-13",29,"Not Sequel",30443459.9156118,105625569.620253,"Comedy"
"285",284,"Spiral",2021,"Summer",93,2e+07,40600000,"Horror","R",37,"Sequel",23151291.5129151,46997121.7712177,"Horror"
"286",285,"Crime and Punishment in Suburbia",2000,"Summer",98,2.1995e+10,2.6394e+10,"Drama","R",10,"Not Sequel",40068707897.7933,48082449477.3519,"Drama"
"287",286,"It",2017,"Summer",135,5.5e+07,704200000,"Horror","R",86,"Sequel",70393716.8502652,901295552.835577,"Horror"
"288",287,"The Namesake",2007,"Winter",121,9500000,20400000,"Drama","PG-13",86,"Not Sequel",14376025.0844187,30870622.2865412,"Drama"
"289",288,"The Ring Two",2005,"Winter",110,5e+07,1.64e+08,"Horror","PG-13",20,"Sequel",80312339.9897593,263424475.166411,"Horror"
"290",289,"Saw 3D",2010,"Fall",90,1.7e+07,136200000,"Horror","R",9,"Sequel",24451627.6937185,195900687.757909,"Horror"
"291",290,"The Rider",2018,"Spring",105,8e+10,4200000,"Western","R",92,"Not Sequel",99944245320.5894,5247072.87933094,"Other"
"292",291,"Big Momma's House",2000,"Spring",99,3e+07,1.74e+08,"Comedy","PG-13",30,"Not Sequel",54651567.9442509,316979094.076655,"Comedy"
"293",292,"No Good Deed",2014,"Summer",84,13200000,54300000,"Thriller","PG-13",12,"Not Sequel",17494043.0925222,71964131.8124208,"Thriller"
"294",293,"1408",2007,"Spring",104,2.5e+07,1.33e+08,"Horror","PG-13",79,"Not Sequel",37831644.9589966,201264351.181862,"Horror"
"295",294,"Grindhouse",2007,"Spring",191,86500000,25400000,"Horror","R",84,"Not Sequel",130897491.558128,38436951.2783406,"Horror"
"296",295,"Lucky Numbers",2000,"Fall",105,6.3e+07,10900000,"Comedy","R",22,"Not Sequel",114768292.682927,19856736.3530778,"Comedy"
"297",296,"Self/Less
",2015,"Summer",117,2.6e+07,31800000,"Sci-Fi","PG-13",18,"Not Sequel",34414345.9915612,42091392.4050633,"Sci-Fi"
"298",297,"Michael Clayton",2007,"Fall",120,21500000,9.3e+07,"Thriller","R",91,"Not Sequel",32535214.6647371,140733719.247467,"Thriller"
"299",298,"Spy",2015,"Spring",120,6.5e+07,235700000,"Comedy","R",95,"Not Sequel",86035864.978903,311979282.700422,"Comedy"
"300",299,"War of the Worlds",2005,"Spring",117,1.32e+08,603900000,"Sci-Fi","PG-13",75,"Not Sequel",212024577.572965,970012442.396313,"Sci-Fi"
"301",300,"Free Guy",2021,"Fall",115,162500000,331500000,"Action","PG-13",80,"Not Sequel",188104243.542435,383732656.826568,"Action"
"302",301,"A Man Apart",2003,"Spring",109,3.6e+07,44300000,"Action","R",10,"Not Sequel",61376086.9565217,75526684.7826087,"Action"
"303",302,"Scouts Guide to the Zombie Apocalypse",2015,"Fall",93,2.7e+07,16100000,"Comedy","R",60,"Not Sequel",35737974.6835443,21310421.9409283,"Comedy"
"304",303,"Minority Report",2002,"Spring",145,1.02e+08,358400000,"Sci-Fi","PG-13",90,"Not Sequel",177862145.636465,624958754.863813,"Sci-Fi"
"305",304,"Thirteen Conversations About One Thing",2002,"Spring",104,3088876666666.67,3.706652e+12,"Drama","R",84,"Not Sequel",5386217956272,6463461547526.4,"Drama"
"306",305,"Sunshine Cleaning",2009,"Winter",91,5e+06,17300000,"Comedy","R",74,"Not Sequel",7312354.31235431,25300745.9207459,"Comedy"
"307",306,"Get Low",2010,"Summer",100,7e+06,10800000,"Drama","PG-13",85,"Not Sequel",10068317.2856488,15533975.2407153,"Drama"
"308",307,"Beau Is Afraid",2023,"Spring",179,3.5e+07,12300000,"Horror","R",67,"Not Sequel",36033803.741385,12663308.1719724,"Horror"
"309",308,"The Amityville Horror",2005,"Spring",89,1.9e+07,107500000,"Horror","R",23,"Sequel",30518689.1961085,172671530.977983,"Horror"
"310",309,"The Adam Project",2022,"Winter",106,1.16e+08,139200000,"Sci-Fi","PG-13",67,"Not Sequel",124322514.519986,149187017.423984,"Sci-Fi"
"311",310,"When You Finish Saving the World",2023,"Winter",88,1.641e+11,1.9692e+11,"Comedy","R",64,"Not Sequel",168947062684.608,202736475221.529,"Comedy"
"312",311,"Get Carter",2000,"Fall",102,63600000,19400000,"Action","R",25,"Sequel",115861324.041812,35341347.2706156,"Action"
"313",312,"MaXXXine",2024,"Summer",104,1e+07,22100000,"Horror","R",92,"Sequel",1e+07,22100000,"Horror"
"314",313,"Sleuth",2007,"Fall",88,4e+06,4800000,"Thriller","R",36,"Sequel",6053063.19343946,7263675.83212735,"Thriller"
"315",314,"Over Her Dead Body",2008,"Winter",95,1e+07,21500000,"Comedy","PG-13",15,"Not Sequel",14570366.9298653,31326288.8992104,"Comedy"
"316",315,"Gotti",2018,"Spring",110,1e+07,6400000,"Crime","R",0,"Not Sequel",12493030.6650737,7995539.62564715,"Crime"
"317",316,"Ferrari",2023,"Fall",130,9.5e+07,43600000,"Drama","R",73,"Not Sequel",97806038.7266164,44887824.0892681,"Drama"
"318",317,"Valkyrie",2008,"Fall",121,1.2e+08,201500000,"Thriller","PG-13",61,"Not Sequel",174844403.158384,293592893.636786,"Thriller"
"319",318,"The Truth About Charlie",2002,"Fall",104,6e+07,7100000,"Thriller","PG-13",33,"Not Sequel",104624791.550862,12380600.3335186,"Thriller"
"320",319,"Marcel the Shell with Shoes On",2022,"Spring",90,6e+06,7e+06,"Animation","PG",99,"Not Sequel",6430474.88896481,7502220.70379228,"Animation"
"321",320,"Connie and Carla",2004,"Spring",98,2.7e+07,11300000,"Comedy","PG-13",43,"Not Sequel",44838009.5288512,18765537.321334,"Comedy"
"322",321,"The Assassination of Richard Nixon",2004,"Fall",95,4600000,4400000,"Drama","R",77,"Not Sequel",7639068.29010058,7306934.88618317,"Drama"
"323",322,"The Nut Job 2: Nutty by Nature",2017,"Summer",91,4e+07,68700000,"Animation","PG",16,"Sequel",51195430.4365565,87928151.7747858,"Animation"
"324",323,"Chaos Walking",2021,"Spring",109,162500000,2.7e+07,"Sci-Fi","PG-13",21,"Not Sequel",188104243.542435,31254243.5424354,"Sci-Fi"
"325",324,"Martin Lawrence Live: Runteldat",2002,"Summer",113,3e+06,19100000,"Comedy","R",33,"Not Sequel",5231239.57754308,33305558.6436909,"Comedy"
"326",325,"Breakthrough",2019,"Spring",116,1.4e+07,50400000,"Drama","PG-13",60,"Not Sequel",17175596.4020336,61832147.0473211,"Drama"
"327",326,"Hellion",2014,"Spring",99,46423333333.3333,5.5708e+10,"Drama","R",61,"Not Sequel",61525135896.3526,73830163075.6232,"Drama"
"328",327,"Till",2022,"Fall",130,2e+07,11500000,"Drama","PG-13",98,"Not Sequel",21434916.2965494,12325076.8705159,"Drama"
"329",328,"Young Woman and the Sea",2024,"Spring",129,1583333.33333333,1900000,"Drama","PG",94,"Not Sequel",1583333.33333333,1900000,"Drama"
"330",329,"Nerve",2016,"Summer",96,1.9e+07,85300000,"Thriller","PG-13",67,"Not Sequel",24834583.3333333,111494208.333333,"Thriller"
"331",330,"Love Don't Cost a Thing",2003,"Fall",101,17500000,2.1e+07,"Comedy","PG-13",13,"Not Sequel",29835597.826087,35802717.3913044,"Comedy"
"332",331,"Kickin' It Old Skool",2007,"Spring",108,25700000,4700000,"Comedy","PG-13",2,"Not Sequel",38890931.0178485,7112349.25229136,"Comedy"
"333",332,"The Exorcist: The Version You've Never Seen",2000,"Summer",122,1.2e+07,441300000,"Horror","R",84,"Sequel",21860627.1777003,803924564.45993,"Horror"
"334",333,"Going in Style",2017,"Spring",96,2.5e+07,84900000,"Comedy","PG-13",47,"Sequel",31997144.0228478,108662301.101591,"Comedy"
"335",334,"Superbad",2007,"Summer",113,27500000,170800000,"Comedy","R",88,"Not Sequel",41614809.4548963,258465798.359865,"Comedy"
"336",335,"Better Living Through Chemistry",2014,"Winter",91,100685833333.333,1.20823e+11,"Comedy","R",24,"Not Sequel",133439568722.715,160127482467.258,"Comedy"
"337",336,"Mad Max: Fury Road",2015,"Spring",120,247150000,380400000,"Action","R",97,"Sequel",327134831.223629,503508354.43038,"Action"
"338",337,"The Color Purple",2023,"Fall",141,1.4e+08,68800000,"Musical","PG-13",83,"Sequel",144135214.96554,70832162.7830653,"Other"
"339",338,"The Midnight Sky",2020,"Fall",118,1e+08,3e+06,"Sci-Fi","PG-13",51,"Not Sequel",121213292.117465,3636398.76352396,"Sci-Fi"
"340",339,"Novocaine",2001,"Fall",95,1e+07,2500000,"Comedy","R",52,"Not Sequel",17713156.4088086,4428289.10220215,"Comedy"
"341",340,"Alpha and Omega",2010,"Summer",88,2e+07,50500000,"Animation","PG",17,"Not Sequel",28766620.8161394,72635717.5607519,"Animation"
"342",341,"How High",2001,"Fall",103,2.2e+07,31300000,"Comedy","R",26,"Not Sequel",38968944.0993789,55442179.5595709,"Comedy"
